epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,3291.38,0.587,0.67308,1.02079,0.9656,0.85028,0.93242,0.80241,0.60553,0.43597,0.99053,0.000182312,0.000182312,0.000182312
68,3339.92,0.57749,0.67101,1.01666,0.959,0.85737,0.9358,0.80135,0.59762,0.43196,0.99009,0.000177104,0.000177104,0.000177104
69,3388.36,0.57071,0.65801,1.00961,0.9519,0.86839,0.93578,0.80569,0.5963,0.43141,0.98209,0.000171897,0.000171897,0.000171897
70,3436.69,0.57976,0.68012,1.01545,0.95875,0.85994,0.9359,0.80013,0.59792,0.43628,0.99093,0.000166689,0.000166689,0.000166689
71,3485.24,0.57186,0.66893,1.01099,0.95155,0.87559,0.93266,0.80032,0.59563,0.42635,0.98567,0.000161482,0.000161482,0.000161482
72,3533.83,0.56078,0.64583,1.0079,0.96962,0.86127,0.93889,0.80437,0.59676,0.42956,0.98805,0.000156275,0.000156275,0.000156275
73,3582.52,0.56223,0.65602,1.00852,0.95266,0.8712,0.93456,0.80598,0.5885,0.41893,0.98034,0.000151067,0.000151067,0.000151067
74,3630.85,0.56846,0.65239,1.01257,0.94722,0.87603,0.94158,0.80859,0.58579,0.41544,0.9826,0.00014586,0.00014586,0.00014586
75,3679.17,0.5702,0.64867,1.01197,0.94946,0.87754,0.93952,0.80562,0.58742,0.42325,0.98189,0.000140652,0.000140652,0.000140652
76,3727.55,0.56338,0.6434,1.00882,0.94111,0.87975,0.93983,0.80889,0.58832,0.4195,0.97852,0.000135445,0.000135445,0.000135445
77,3776.64,0.56199,0.64245,1.01111,0.95336,0.86544,0.93968,0.80869,0.58724,0.41404,0.97972,0.000130238,0.000130238,0.000130238
78,3825.03,0.554,0.64076,1.00143,0.94445,0.88508,0.94022,0.80768,0.58607,0.40793,0.98094,0.00012503,0.00012503,0.00012503
79,3873.85,0.5491,0.63851,1.00539,0.94367,0.88002,0.94253,0.81145,0.58354,0.4161,0.98087,0.000119823,0.000119823,0.000119823
80,3922.29,0.55912,0.61991,1.00495,0.96272,0.86936,0.94125,0.80608,0.59099,0.41535,0.98377,0.000114615,0.000114615,0.000114615
81,3970.64,0.54426,0.6215,1.00029,0.96341,0.87347,0.94359,0.80983,0.58136,0.40155,0.97901,0.000109408,0.000109408,0.000109408
82,4019.01,0.54598,0.61143,0.99797,0.96132,0.8802,0.94356,0.81182,0.58377,0.40526,0.98054,0.000104201,0.000104201,0.000104201
83,4068.21,0.54772,0.61131,0.99881,0.93695,0.88629,0.94509,0.81117,0.58215,0.40661,0.97887,9.89932e-05,9.89932e-05,9.89932e-05
84,4116.84,0.55318,0.62283,1.00075,0.96365,0.88379,0.94464,0.81216,0.58341,0.40209,0.97662,9.37858e-05,9.37858e-05,9.37858e-05
85,4165.29,0.5435,0.61384,0.99619,0.95289,0.8899,0.94648,0.81348,0.5824,0.3964,0.97595,8.85784e-05,8.85784e-05,8.85784e-05
86,4213.7,0.54739,0.61702,1.00236,0.95232,0.88608,0.94653,0.81459,0.58166,0.40238,0.9818,8.3371e-05,8.3371e-05,8.3371e-05
87,4262.18,0.53553,0.59252,0.99157,0.95941,0.88664,0.94545,0.81202,0.58213,0.39404,0.98115,7.81636e-05,7.81636e-05,7.81636e-05
88,4310.37,0.54701,0.60713,0.99904,0.95684,0.89034,0.94807,0.81658,0.5802,0.39408,0.97867,7.29562e-05,7.29562e-05,7.29562e-05
89,4358.9,0.54203,0.59725,0.99342,0.96054,0.88927,0.94711,0.81663,0.57857,0.38676,0.97464,6.77488e-05,6.77488e-05,6.77488e-05
90,4407.25,0.53902,0.59624,0.99291,0.95897,0.88203,0.9488,0.81378,0.58217,0.39446,0.9773,6.25414e-05,6.25414e-05,6.25414e-05
91,4475.05,0.50708,0.38019,0.9383,0.95759,0.89147,0.94848,0.81102,0.57974,0.38994,0.97617,5.7334e-05,5.7334e-05,5.7334e-05
92,4523.21,0.50139,0.37843,0.93828,0.96618,0.88919,0.94874,0.81695,0.57586,0.3877,0.97539,5.21266e-05,5.21266e-05,5.21266e-05
93,4571.36,0.49682,0.36955,0.92997,0.96086,0.89517,0.94786,0.81712,0.57667,0.38395,0.97379,4.69192e-05,4.69192e-05,4.69192e-05
94,4619.47,0.49415,0.36887,0.92792,0.95175,0.89849,0.94813,0.81702,0.57769,0.38106,0.97526,4.17118e-05,4.17118e-05,4.17118e-05
95,4668.05,0.49488,0.36176,0.93565,0.95801,0.8909,0.94768,0.81508,0.57824,0.38489,0.97624,3.65044e-05,3.65044e-05,3.65044e-05
96,4716.27,0.48764,0.35684,0.93028,0.95933,0.88676,0.95107,0.81615,0.57488,0.38237,0.97344,3.1297e-05,3.1297e-05,3.1297e-05
97,4764.47,0.48476,0.3525,0.92489,0.96122,0.88841,0.94888,0.81678,0.57501,0.37969,0.9724,2.60896e-05,2.60896e-05,2.60896e-05
98,4812.55,0.48043,0.35406,0.92986,0.95358,0.89175,0.95003,0.81868,0.57354,0.38023,0.97139,2.08822e-05,2.08822e-05,2.08822e-05
99,4860.91,0.47585,0.34947,0.92297,0.96033,0.89097,0.9515,0.81925,0.57302,0.37891,0.97174,1.56748e-05,1.56748e-05,1.56748e-05
100,4908.97,0.48047,0.35399,0.92391,0.96192,0.89242,0.95192,0.81917,0.57452,0.37861,0.97215,1.04674e-05,1.04674e-05,1.04674e-05
