epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,2996.26,0.60096,0.69536,1.02825,0.95301,0.84499,0.92829,0.79484,0.60907,0.46561,0.99606,0.000208349,0.000208349,0.000208349
63,3044.47,0.58983,0.69961,1.02223,0.9579,0.85554,0.93753,0.79912,0.60964,0.44601,0.99476,0.000203141,0.000203141,0.000203141
64,3092.81,0.59225,0.70436,1.02775,0.97547,0.83249,0.9373,0.79918,0.61275,0.44754,0.99568,0.000197934,0.000197934,0.000197934
65,3141.45,0.57874,0.67903,1.01756,0.95164,0.86189,0.93715,0.80001,0.60691,0.4424,0.99222,0.000192726,0.000192726,0.000192726
66,3190.12,0.58631,0.68755,1.01645,0.9616,0.85097,0.9349,0.80089,0.60454,0.45013,0.99507,0.000187519,0.000187519,0.000187519
67,3237.68,0.58406,0.68257,1.02076,0.96192,0.85615,0.93528,0.79845,0.60788,0.44062,0.99033,0.000182312,0.000182312,0.000182312
68,3285.43,0.57995,0.66749,1.01685,0.96745,0.86124,0.93969,0.79872,0.61358,0.43933,0.9938,0.000177104,0.000177104,0.000177104
69,3334.53,0.57188,0.65513,1.01311,0.95078,0.87605,0.94386,0.80197,0.60446,0.4307,0.99134,0.000171897,0.000171897,0.000171897
70,3383.39,0.58148,0.67748,1.0173,0.95112,0.87272,0.94162,0.80511,0.59855,0.43316,0.99026,0.000166689,0.000166689,0.000166689
71,3431.32,0.57473,0.66796,1.01297,0.95074,0.86719,0.93724,0.79547,0.59802,0.43514,0.98568,0.000161482,0.000161482,0.000161482
72,3479.07,0.56832,0.648,1.01038,0.96497,0.86743,0.94134,0.80264,0.60019,0.42827,0.98657,0.000156275,0.000156275,0.000156275
73,3527.51,0.56273,0.64962,1.00807,0.9497,0.87022,0.94106,0.80522,0.59508,0.42455,0.98628,0.000151067,0.000151067,0.000151067
74,3576.14,0.57202,0.65146,1.01388,0.9559,0.87542,0.9441,0.80508,0.59493,0.41772,0.9881,0.00014586,0.00014586,0.00014586
75,3624.05,0.57201,0.64364,1.01294,0.95315,0.86763,0.94355,0.80746,0.59299,0.42074,0.98799,0.000140652,0.000140652,0.000140652
76,3678.57,0.56732,0.64981,1.00851,0.95791,0.87835,0.94754,0.80885,0.60453,0.41743,0.98607,0.000135445,0.000135445,0.000135445
77,3726.84,0.56459,0.64051,1.012,0.95194,0.87941,0.94584,0.8072,0.60625,0.41735,0.98769,0.000130238,0.000130238,0.000130238
78,3780.38,0.55566,0.63439,1.00197,0.95915,0.88205,0.94902,0.81108,0.59732,0.40901,0.98603,0.00012503,0.00012503,0.00012503
79,3828.14,0.55233,0.64038,1.00729,0.93268,0.89529,0.95003,0.80692,0.59817,0.41225,0.98693,0.000119823,0.000119823,0.000119823
80,3876.4,0.56254,0.62225,1.00825,0.94211,0.88598,0.94841,0.80661,0.59963,0.41154,0.98836,0.000114615,0.000114615,0.000114615
81,3924.43,0.54826,0.62582,1.00141,0.96258,0.8824,0.9491,0.80913,0.59671,0.41099,0.98646,0.000109408,0.000109408,0.000109408
82,3972.22,0.54861,0.61114,0.99954,0.94633,0.90214,0.95092,0.81196,0.59554,0.40849,0.98917,0.000104201,0.000104201,0.000104201
83,4020.3,0.55447,0.61721,1.00168,0.92811,0.89377,0.94711,0.80707,0.59561,0.40733,0.98489,9.89932e-05,9.89932e-05,9.89932e-05
84,4068.26,0.55523,0.62609,1.00153,0.94248,0.89592,0.95256,0.81465,0.59346,0.40686,0.98538,9.37858e-05,9.37858e-05,9.37858e-05
85,4116.29,0.54346,0.6086,0.99716,0.97076,0.87263,0.95303,0.81439,0.59282,0.39756,0.98415,8.85784e-05,8.85784e-05,8.85784e-05
86,4164.05,0.55342,0.61594,1.00654,0.95533,0.88928,0.9537,0.81589,0.59727,0.39249,0.98693,8.3371e-05,8.3371e-05,8.3371e-05
87,4211.86,0.54487,0.59496,0.99496,0.94109,0.90623,0.9543,0.81253,0.59581,0.39208,0.982,7.81636e-05,7.81636e-05,7.81636e-05
88,4265.01,0.54857,0.60891,0.99937,0.94743,0.90139,0.95425,0.81431,0.59387,0.39502,0.98229,7.29562e-05,7.29562e-05,7.29562e-05
89,4319.26,0.54522,0.59788,0.99551,0.93871,0.90391,0.95415,0.81939,0.58947,0.38958,0.97876,6.77488e-05,6.77488e-05,6.77488e-05
90,4372.44,0.53832,0.59233,0.99399,0.9461,0.89247,0.95073,0.8136,0.59466,0.39112,0.98573,6.25414e-05,6.25414e-05,6.25414e-05
91,4448.73,0.50887,0.38879,0.94008,0.94709,0.90351,0.95353,0.81355,0.5889,0.39009,0.9833,5.7334e-05,5.7334e-05,5.7334e-05
92,4496.31,0.50325,0.3796,0.9395,0.95669,0.89842,0.95432,0.81409,0.58995,0.38975,0.98502,5.21266e-05,5.21266e-05,5.21266e-05
93,4544.28,0.49748,0.37612,0.93109,0.94498,0.90638,0.95432,0.81687,0.5901,0.38564,0.97999,4.69192e-05,4.69192e-05,4.69192e-05
94,4591.98,0.4954,0.3713,0.93021,0.95522,0.89465,0.95306,0.81368,0.58887,0.38624,0.98078,4.17118e-05,4.17118e-05,4.17118e-05
95,4640.26,0.49838,0.36596,0.9358,0.95563,0.90124,0.95456,0.81547,0.5864,0.38406,0.97992,3.65044e-05,3.65044e-05,3.65044e-05
96,4688.02,0.49298,0.36421,0.93283,0.96006,0.90068,0.9572,0.81672,0.58589,0.38221,0.98006,3.1297e-05,3.1297e-05,3.1297e-05
97,4735.63,0.48555,0.35518,0.92538,0.95752,0.89514,0.95455,0.8154,0.58438,0.37944,0.97807,2.60896e-05,2.60896e-05,2.60896e-05
98,4783.38,0.4873,0.35816,0.93214,0.96091,0.89988,0.95643,0.81894,0.58519,0.37827,0.97786,2.08822e-05,2.08822e-05,2.08822e-05
99,4831.07,0.48307,0.35481,0.92493,0.96585,0.89452,0.95478,0.82106,0.58205,0.37624,0.9771,1.56748e-05,1.56748e-05,1.56748e-05
100,4884.14,0.48379,0.35954,0.9245,0.96766,0.89296,0.95474,0.81809,0.58134,0.37683,0.97705,1.04674e-05,1.04674e-05,1.04674e-05
